"x","y","status","PA1","PA2","PA3","PA4"
4758055.9233003,3533305.1328018,NA,FALSE,FALSE,TRUE,FALSE
1474555.9233003,3516805.1328018,NA,FALSE,FALSE,TRUE,FALSE
8883055.9233003,3516805.1328018,NA,FALSE,FALSE,TRUE,FALSE
6787555.9233003,3450805.1328018,NA,FALSE,FALSE,FALSE,TRUE
-10240444.0766997,3417805.1328018,NA,FALSE,TRUE,FALSE,FALSE
3718555.9233003,3417805.1328018,NA,FALSE,FALSE,TRUE,FALSE
1623055.9233003,3401305.1328018,NA,FALSE,TRUE,FALSE,FALSE
6903055.9233003,3401305.1328018,NA,FALSE,FALSE,TRUE,FALSE
-9959944.0766997,3384805.1328018,NA,FALSE,TRUE,FALSE,FALSE
963055.9233003,3384805.1328018,NA,FALSE,FALSE,TRUE,FALSE
-9448444.0766997,3318805.1328018,NA,TRUE,FALSE,FALSE,FALSE
3570055.9233003,3302305.1328018,NA,FALSE,TRUE,FALSE,FALSE
-1115944.0766997,3252805.1328018,NA,TRUE,FALSE,FALSE,FALSE
765055.9233003,3252805.1328018,NA,TRUE,FALSE,FALSE,FALSE
8091055.9233003,3219805.1328018,NA,TRUE,FALSE,FALSE,FALSE
-9976444.0766997,3203305.1328018,NA,TRUE,FALSE,FALSE,FALSE
600055.9233003,3203305.1328018,NA,FALSE,TRUE,FALSE,FALSE
3784555.9233003,3186805.1328018,NA,TRUE,FALSE,FALSE,FALSE
8685055.9233003,3087805.1328018,NA,FALSE,FALSE,FALSE,TRUE
3834055.9233003,3071305.1328018,NA,FALSE,FALSE,FALSE,TRUE
3207055.9233003,3054805.1328018,NA,TRUE,FALSE,FALSE,FALSE
-9662944.0766997,3038305.1328018,NA,FALSE,FALSE,TRUE,FALSE
2035555.9233003,3038305.1328018,NA,TRUE,FALSE,FALSE,FALSE
5203555.9233003,3038305.1328018,NA,FALSE,TRUE,FALSE,FALSE
3520555.9233003,3021805.1328018,NA,TRUE,FALSE,FALSE,FALSE
8008555.9233003,3021805.1328018,NA,TRUE,FALSE,FALSE,FALSE
-1379944.0766997,2988805.1328018,NA,FALSE,TRUE,FALSE,FALSE
2811055.9233003,2972305.1328018,NA,TRUE,FALSE,FALSE,FALSE
534055.9233003,2955805.1328018,NA,FALSE,FALSE,TRUE,FALSE
2349055.9233003,2955805.1328018,NA,FALSE,FALSE,FALSE,TRUE
-9761944.0766997,2939305.1328018,NA,FALSE,FALSE,TRUE,FALSE
3306055.9233003,2939305.1328018,NA,FALSE,FALSE,TRUE,FALSE
3289555.9233003,2922805.1328018,NA,FALSE,FALSE,TRUE,FALSE
5022055.9233003,2922805.1328018,NA,TRUE,FALSE,FALSE,FALSE
5121055.9233003,2873305.1328018,NA,FALSE,TRUE,FALSE,FALSE
7497055.9233003,2873305.1328018,NA,TRUE,FALSE,FALSE,FALSE
-9844444.0766997,2856805.1328018,NA,FALSE,TRUE,FALSE,FALSE
-43444.0766997002,2856805.1328018,NA,FALSE,TRUE,FALSE,FALSE
7975555.9233003,2823805.1328018,NA,FALSE,FALSE,FALSE,TRUE
4873555.9233003,2807305.1328018,NA,FALSE,FALSE,FALSE,TRUE
3966055.9233003,2790805.1328018,NA,FALSE,FALSE,FALSE,TRUE
2085055.9233003,2774305.1328018,NA,FALSE,FALSE,FALSE,TRUE
253555.9233003,2757805.1328018,NA,FALSE,FALSE,FALSE,TRUE
4296055.9233003,2757805.1328018,NA,FALSE,FALSE,TRUE,FALSE
220555.9233003,2724805.1328018,NA,FALSE,FALSE,FALSE,TRUE
402055.9233003,2708305.1328018,NA,FALSE,FALSE,FALSE,TRUE
7909555.9233003,2675305.1328018,NA,FALSE,TRUE,FALSE,FALSE
798055.9233003,2609305.1328018,NA,FALSE,FALSE,TRUE,FALSE
7827055.9233003,2609305.1328018,NA,FALSE,TRUE,FALSE,FALSE
2134555.9233003,2592805.1328018,NA,FALSE,FALSE,TRUE,FALSE
798055.9233003,2559805.1328018,NA,FALSE,FALSE,TRUE,FALSE
3471055.9233003,2559805.1328018,NA,FALSE,TRUE,FALSE,FALSE
4230055.9233003,2559805.1328018,NA,FALSE,TRUE,FALSE,FALSE
7860055.9233003,2559805.1328018,NA,FALSE,FALSE,FALSE,TRUE
2547055.9233003,2526805.1328018,NA,FALSE,FALSE,FALSE,TRUE
